url,title,description,downloaded_at,status,transcribed,duration_seconds,category,tags,topics,file_path,posted_at
https://locals.com/scottadams/feed?post=3664133,My dog Snickers uses the transporter,I'm teaching Snickers how to use the transporter to beam from one floor of my house to another.,2026-03-17T11:25:21.932096+00:00,downloaded,0,,Micro Lessons,,,./downloads\My dog Snickers uses the transporter.mp4,
https://locals.com/scottadams/feed?post=3663805,EPISODE 2045 EXCERPT - Reframing Race,"Reframing race to fix everything, for everybody
An excerpt from Episode 2045
Screenshot of the whiteboard is posted below (separately)",2026-03-17T11:42:09.723556+00:00,downloaded,0,,Micro Lessons,,,./downloads\EPISODE 2045 EXCERPT - Reframing Race.mp4,
https://locals.com/scottadams/feed?post=3660171,Micro Lesson on proper lighting,Locals makes it simple for creators to start a subscription based community and make money directly from their supports.,2026-03-17T11:58:26.816023+00:00,downloaded,0,,Micro Lessons,,,./downloads\Micro Lesson on proper lighting.mp4,
https://locals.com/scottadams/feed?post=3660090,Micro Lesson on being happier and less bored,Locals makes it simple for creators to start a subscription based community and make money directly from their supports.,2026-03-17T12:17:22.721012+00:00,downloaded,0,,Micro Lessons,,,./downloads\Micro Lesson on being happier and less bored.mp4,
https://locals.com/scottadams/feed?post=3659486,Micro Lesson on breathing and posture when bored,Locals makes it simple for creators to start a subscription based community and make money directly from their supports.,2026-03-17T12:33:36.852313+00:00,downloaded,0,,Micro Lessons,,,./downloads\Micro Lesson on breathing and posture when bored.mp4,
https://locals.com/scottadams/feed?post=3643113,Micro Lesson on removing emotion from a negotiation,Have you ever been nervous about offending someone in a business setting by asking for too much or by saying no? This Micro Lesson is for you.,2026-03-17T12:49:54.814933+00:00,downloaded,0,,Micro Lessons,,,./downloads\Micro Lesson on removing emotion from a negotiation.mp4,
https://locals.com/scottadams/feed?post=3564587,Micro Lesson on AI now and soon,Locals makes it simple for creators to start a subscription based community and make money directly from their supports.,2026-03-17T13:06:10.016774+00:00,downloaded,0,,Micro Lessons,,,./downloads\Micro Lesson on AI now and soon.mp4,
https://locals.com/scottadams/feed?post=3488138,Episode 2012 EXCERPT - Predictions and Forecasts,Episode 2012 EXCERPT - Predictions and Forecasts,2026-03-17T13:22:46.142436+00:00,downloaded,0,,Micro Lessons,,,./downloads\Episode 2012 EXCERPT - Predictions and Forecasts.mp4,
https://locals.com/scottadams/feed?post=3488100,Episode 2012 EXCERPT - 7 Tells For Cognitive Dissonance,Episode 2012 EXCERPT - 7 Tells For Cognitive Dissonance,2026-03-17T13:43:30.425898+00:00,downloaded,0,,Micro Lessons,,,./downloads\Episode 2012 EXCERPT - 7 Tells For Cognitive Dissonance.mp4,
https://locals.com/scottadams/feed?post=3483439,A Micro Lesson on talking sexy like a hypnotist,Locals makes it simple for creators to start a subscription based community and make money directly from their supports.,2026-03-17T13:50:05.280806+00:00,downloaded,0,,Micro Lessons,,,./downloads\A Micro Lesson on talking sexy like a hypnotist.mp4,
https://locals.com/scottadams/feed?post=3456598,A Micro Lesson on Solar energy economics,I recently saw some smart people say solar power will never be economical. They might be right. But this is the way to analyze it.,2026-03-17T13:56:14.544869+00:00,downloaded,0,,Micro Lessons,,,./downloads\A Micro Lesson on Solar energy economics.mp4,
